F2 | F2-PC-05 | HEARTBEAT OK
F4 | F4-SW-02 | SESSION ACTIVE
F5 | F5-BADGE | LOGIN OK user=admin
F3 | F3-PC-05 | ACCESS OK
F5 | F5-AUDIT | LOGIN FAIL user=staff
F3 | F3-PC-09 | LOGIN OK user=guest
F3 | F3-PC-10 | SYNC OK
F3 | F3-PC-08 | PACKETS TX 331
F5 | F5-FIREWALL | AUTH OK user=staff
F2 | F2-PC-10 | SYNC OK
F4 | F4-PC-05 | FLOW NORMAL -> F3-PC-01
F1 | F1-WIFI | FILE WRITE
F4 | F4-DEV-02 | PACKETS TX 559
F4 | F4-CLOUD-02 | FILE WRITE
F1 | F1-CAM-04 | DNS OK
F4 | F4-DEV-03 | FILE READ
F1 | F1-RECEPTION-02 | FILE READ
F5 | F5-FINANCE | HEARTBEAT OK
F4 | F4-PC-01 | PACKETS RX 775
F4 | F4-PC-05 | FILE WRITE
F5 | F5-CORE-SW | SYNC OK
F5 | F5-FILE | SYNC OK
F3 | F3-PC-08 | FILE WRITE
F5 | F5-FILE | HEARTBEAT OK
F4 | F4-PC-05 | PACKETS TX 688
F4 | F4-DEV-01 | SESSION ACTIVE
F4 | F4-CLOUD-02 | FLOW NORMAL -> F5-CORE-SW
F1 | F1-BADGE | FILE READ
F1 | F1-BADGE | AUTH OK user=reception
F2 | F2-PC-08 | LOGIN OK user=staff
F1 | F1-CAM-03 | ACCESS OK
F4 | F4-PC-04 | PACKETS TX 220
F4 | F4-CLOUD-01 | PACKETS TX 349
F4 | F4-PC-04 | ACCESS OK
F4 | F4-DEV-03 | ACCESS OK
F2 | F2-PC-01 | LOGIN FAIL user=guest
F5 | F5-FIREWALL | LINK ACTIVE -> F4-BADGE
F3 | F3-PC-02 | AUTH OK user=guest
F1 | F1-BADGE | SYNC OK
F2 | F2-WIFI | HEARTBEAT OK
F2 | F2-PC-10 | SYNC OK
F2 | F2-PC-07 | LOGIN FAIL user=guest
F3 | F3-PC-01 | LOGIN OK user=admin
F4 | F4-PC-03 | SESSION ACTIVE
F2 | F2-PC-05 | SESSION ACTIVE
F3 | F3-FILE-03 | AUTH FAIL user=dev
F1 | F1-BADGE | PACKETS RX 593
F4 | F4-PC-04 | FILE READ
F2 | F2-WIFI | AUTH OK user=dev
F3 | F3-PC-05 | AUTH FAIL user=admin
F2 | F2-PC-06 | LINK ACTIVE -> F4-BADGE
F5 | F5-CORE-SW | FILE WRITE
F4 | F4-PC-03 | AUTH OK user=dev
F3 | F3-SWITCH | HEARTBEAT OK
F4 | F4-DEV-03 | LOGIN FAIL user=guest
F4 | F4-FILE-02 | DEVICE IDLE
F4 | F4-CLOUD-01 | FLOW NORMAL -> F4-FILE-02
F2 | F2-PRINTER-03 | ACCESS OK
F5 | F5-CORE-SW | LOGIN FAIL user=reception
F4 | F4-FILE-02 | ACCESS OK
F3 | F3-PRINTER-01 | SYNC OK
F2 | F2-PC-02 | ACCESS OK
F4 | F4-SW-02 | SYNC OK
F4 | F4-CLOUD-02 | FILE READ
F3 | F3-SWITCH | HEARTBEAT OK
F5 | F5-HR | PACKETS TX 190
F5 | F5-FILE | DNS OK
F4 | F4-PC-01 | ACCESS OK
F3 | F3-SWITCH | ACCESS OK
F3 | F3-PC-09 | HEARTBEAT OK
F5 | F5-AUDIT | DNS OK
F2 | F2-PC-01 | SYNC OK
F4 | F4-DEV-02 | LOGIN FAIL user=dev
F3 | F3-PC-04 | LOGIN FAIL user=reception
F4 | F4-SW-02 | HEARTBEAT OK
F2 | F2-PC-02 | PACKETS RX 230
F4 | F4-DEV-01 | SYNC OK
F3 | F3-FILE-03 | DEVICE IDLE
F5 | F5-BADGE | DEVICE IDLE
F4 | F4-FILE-01 | PACKETS TX 364
F4 | F4-CLOUD-01 | ACCESS OK
F3 | F3-FILE-03 | ACCESS OK
F3 | F3-PC-03 | AUTH FAIL user=staff
F3 | F3-CLOUD | AUTH FAIL user=dev
F2 | F2-PRINTER-04 | DNS OK
F3 | F3-PC-01 | LOGIN FAIL user=admin
F5 | F5-DOMAIN | PACKETS RX 106
F2 | F2-SWITCH | PACKETS RX 236
F4 | F4-PC-02 | SESSION ACTIVE
F3 | F3-FILE-02 | HEARTBEAT OK
F5 | F5-CORE-SW | FLOW NORMAL -> F3-PC-09
F1 | F1-CAM-02 | LINK ACTIVE -> F3-FILE-01
F2 | F2-PC-07 | LOGIN FAIL user=guest
F1 | F1-RECEPTION-01 | PACKETS RX 484
F5 | F5-FINANCE | LOGIN OK user=admin
F2 | F2-PRINTER-04 | LINK ACTIVE -> F3-PC-06
F5 | F5-FINANCE | AUTH FAIL user=guest
F4 | F4-DEV-01 | LOGIN FAIL user=guest
F1 | F1-CAM-03 | FLOW NORMAL -> F2-PC-10
F3 | F3-FILE-02 | AUTH OK user=staff
F2 | F2-PC-06 | FILE WRITE
F3 | F3-PC-02 | FILE READ
F4 | F4-SW-02 | LOGIN OK user=admin
F4 | F4-FILE-01 | PACKETS RX 586
F1 | F1-CAM-04 | AUTH FAIL user=staff
F3 | F3-PC-01 | ACCESS OK
F2 | F2-PC-01 | SESSION ACTIVE
F3 | F3-PC-04 | SESSION ACTIVE
F2 | F2-BADGE | SESSION ACTIVE
F1 | F1-KIOSK | FILE WRITE
F4 | F4-SW-02 | LOGIN FAIL user=admin
F1 | F1-CAM-01 | SYNC OK
F3 | F3-PC-10 | PACKETS RX 723
F4 | F4-CLOUD-01 | AUTH OK user=staff
F3 | F3-PC-07 | DNS OK
F4 | F4-FILE-01 | AUTH FAIL user=dev
F3 | F3-PC-02 | FLOW NORMAL -> F3-PC-08
F2 | F2-PC-09 | AUTH OK user=guest
F2 | F2-PRINTER-02 | PACKETS RX 613
F3 | F3-PC-10 | LOGIN OK user=guest
F4 | F4-CLOUD-02 | PACKETS RX 720
F4 | F4-DEV-01 | ACCESS OK
F5 | F5-APP | LOGIN FAIL user=reception
F2 | F2-PC-01 | LINK ACTIVE -> F4-FILE-02
F3 | F3-PRINTER-01 | ACCESS OK
F1 | F1-BADGE | AUTH OK user=staff
F1 | F1-RECEPTION-02 | ACCESS OK
F1 | F1-CAM-02 | SESSION ACTIVE
F5 | F5-BADGE | LOGIN OK user=admin
F2 | F2-PRINTER-04 | FILE WRITE
F5 | F5-FILE | AUTH OK user=reception
F4 | F4-BADGE | FILE WRITE
F3 | F3-PRINTER-02 | PACKETS TX 690
F2 | F2-PC-04 | SESSION ACTIVE
F3 | F3-PRINTER-02 | FILE WRITE
F5 | F5-HR | PACKETS RX 682
F4 | F4-DEV-01 | LINK ACTIVE -> F4-CLOUD-01
F2 | F2-PC-02 | PACKETS TX 262
F3 | F3-PRINTER-01 | AUTH FAIL user=reception
F5 | F5-BACKUP | HEARTBEAT OK
F5 | F5-FIREWALL | LOGIN OK user=reception
F1 | F1-CAM-03 | DNS OK
F5 | F5-AUDIT | DEVICE IDLE
F5 | F5-HR | LOGIN OK user=guest
F3 | F3-BADGE | ACCESS OK
F2 | F2-PC-07 | PACKETS RX 452
F5 | F5-FILE | AUTH FAIL user=guest
F3 | F3-PC-04 | SESSION ACTIVE
F3 | F3-FILE-03 | HEARTBEAT OK
F4 | F4-DEV-02 | AUTH OK user=staff
F2 | F2-PC-05 | LOGIN OK user=guest
F2 | F2-PC-10 | LOGIN FAIL user=admin
F5 | F5-BACKUP | ACCESS OK
F4 | F4-DEV-03 | LOGIN FAIL user=reception
F3 | F3-PC-05 | LOGIN OK user=dev
F2 | F2-PC-09 | FILE READ
F2 | F2-SWITCH | FLOW NORMAL -> F1-WIFI
F3 | F3-PC-09 | FILE WRITE
F3 | F3-SWITCH | ACCESS OK
F1 | F1-KIOSK | PACKETS RX 747
F3 | F3-FILE-02 | LOGIN FAIL user=staff
F4 | F4-SW-02 | LOGIN FAIL user=admin
F3 | F3-PRINTER-02 | FILE READ
F4 | F4-CLOUD-01 | PACKETS TX 894
F2 | F2-SWITCH | SYNC OK
F4 | F4-PC-05 | SYNC OK
F4 | F4-DEV-02 | LINK ACTIVE -> F3-CLOUD
F5 | F5-BADGE | FILE READ
F4 | F4-PC-05 | FLOW NORMAL -> F5-HR
F1 | F1-CAM-01 | FLOW NORMAL -> F5-APP
F3 | F3-PRINTER-02 | AUTH FAIL user=reception
F2 | F2-PC-03 | LOGIN OK user=guest
F2 | F2-PC-09 | FILE WRITE
F2 | F2-PC-10 | AUTH OK user=reception
F3 | F3-PC-07 | PACKETS TX 642
F4 | F4-PC-06 | AUTH OK user=admin
F5 | F5-CORE-SW | FILE READ
F3 | F3-CLOUD | LOGIN FAIL user=dev
F1 | F1-CAM-01 | AUTH OK user=staff
F3 | F3-PC-10 | SYNC OK
F2 | F2-PC-02 | FILE WRITE
F2 | F2-PC-03 | AUTH FAIL user=reception
F2 | F2-PRINTER-02 | PACKETS RX 33
F1 | F1-CAM-02 | PACKETS TX 819
F1 | F1-CAM-04 | PACKETS RX 371
F4 | F4-PC-03 | FILE WRITE
F2 | F2-PC-09 | SYNC OK
F5 | F5-DOMAIN | FILE WRITE
F2 | F2-PRINTER-04 | SESSION ACTIVE
F2 | F2-PRINTER-03 | AUTH OK user=dev
F4 | F4-PC-04 | SYNC OK
F5 | F5-HR | FLOW NORMAL -> F3-PC-03
F4 | F4-CLOUD-02 | ACCESS OK
F4 | F4-CLOUD-01 | ACCESS OK
F1 | F1-RECEPTION-01 | LOGIN OK user=admin
F5 | F5-FIREWALL | SESSION ACTIVE
F2 | F2-BADGE | LOGIN OK user=admin
F3 | F3-FILE-02 | FILE WRITE
F3 | F3-PC-06 | LOGIN OK user=admin
F2 | F2-WIFI | FILE READ
F5 | F5-FINANCE | AUTH FAIL user=staff
F4 | F4-PC-04 | DEVICE IDLE
F3 | F3-FILE-01 | PACKETS RX 26
F4 | F4-PC-06 | ACCESS OK
F1 | F1-RECEPTION-01 | LINK ACTIVE -> F5-HR
F3 | F3-PC-10 | SYNC OK
F4 | F4-PC-01 | SYNC OK
F2 | F2-SWITCH | ACCESS OK
F2 | F2-PC-08 | AUTH FAIL user=guest
F3 | F3-FILE-03 | LOGIN OK user=guest
F4 | F4-PC-02 | FLOW NORMAL -> F2-PC-02
F3 | F3-FILE-01 | PACKETS TX 769
F4 | F4-DEV-03 | SESSION ACTIVE
F2 | F2-WIFI | FLOW NORMAL -> F5-FIREWALL
F4 | F4-PC-02 | ACCESS OK
F2 | F2-PRINTER-02 | ACCESS OK
F5 | F5-FINANCE | PACKETS RX 768
F3 | F3-SWITCH | AUTH FAIL user=reception
F2 | F2-BADGE | FLOW NORMAL -> F3-PC-02
F4 | F4-PC-06 | DEVICE IDLE
F2 | F2-PC-02 | FILE READ
F1 | F1-RECEPTION-01 | ACCESS OK
F5 | F5-CORE-SW | AUTH FAIL user=reception
F4 | F4-PC-03 | ACCESS OK
F4 | F4-PC-04 | DEVICE IDLE
F2 | F2-PC-04 | SYNC OK
F5 | F5-BADGE | HEARTBEAT OK
F3 | F3-PRINTER-01 | SYNC OK
F1 | F1-WIFI | LOGIN OK user=admin
F4 | F4-DEV-02 | AUTH FAIL user=staff
F1 | F1-CAM-02 | LINK ACTIVE -> F3-FILE-02
F5 | F5-HR | AUTH FAIL user=guest
F3 | F3-PC-04 | FLOW NORMAL -> F4-PC-05
F4 | F4-CLOUD-01 | DEVICE IDLE
F5 | F5-FIREWALL | FILE WRITE
F2 | F2-PC-10 | FILE WRITE
F2 | F2-PC-03 | LOGIN FAIL user=dev
F4 | F4-DEV-02 | ACCESS OK
F1 | F1-CAM-01 | DEVICE IDLE
F3 | F3-PC-01 | LOGIN OK user=reception
F3 | F3-PC-04 | DEVICE IDLE
F2 | F2-PC-03 | DEVICE IDLE
F5 | F5-FIREWALL | DEVICE IDLE
F1 | F1-CAM-04 | FILE READ
F3 | F3-PC-09 | DNS OK
F2 | F2-PC-06 | LOGIN OK user=guest
F3 | F3-PC-01 | HEARTBEAT OK
F1 | F1-CAM-03 | PACKETS TX 253
F2 | F2-PC-07 | DNS OK
F1 | F1-WIFI | DNS OK
F3 | F3-PC-01 | SYNC OK
F3 | F3-PRINTER-02 | FLOW NORMAL -> F1-KIOSK
F3 | F3-PC-09 | FLOW NORMAL -> F2-PC-07
F5 | F5-FIREWALL | ACCESS OK
F2 | F2-PRINTER-03 | AUTH FAIL user=guest
F2 | F2-PC-07 | HEARTBEAT OK
F4 | F4-PC-01 | SYNC OK
F3 | F3-PRINTER-01 | HEARTBEAT OK
F2 | F2-PRINTER-03 | ACCESS OK
F1 | F1-CAM-03 | FLOW NORMAL -> F4-DEV-03
F5 | F5-DOMAIN | AUTH FAIL user=guest
F5 | F5-BADGE | LOGIN OK user=admin
F5 | F5-BACKUP | AUTH FAIL user=reception
F5 | F5-APP | SYNC OK
F1 | F1-CAM-02 | PACKETS RX 473
F1 | F1-BADGE | LINK ACTIVE -> F5-FINANCE
F4 | F4-DEV-01 | FILE WRITE
F2 | F2-PC-04 | LOGIN FAIL user=reception
F2 | F2-BADGE | AUTH OK user=admin
F2 | F2-PC-09 | AUTH OK user=staff
F3 | F3-PC-09 | PACKETS TX 394
F5 | F5-DOMAIN | PACKETS RX 468
F5 | F5-APP | FILE WRITE
F2 | F2-PC-03 | AUTH FAIL user=dev
F3 | F3-PC-01 | FILE WRITE
F4 | F4-SW-02 | SYNC OK
F4 | F4-DEV-02 | PACKETS TX 851
F4 | F4-CLOUD-01 | FILE READ
F4 | F4-DEV-03 | AUTH FAIL user=admin
F4 | F4-FILE-01 | PACKETS TX 685
F3 | F3-PC-06 | DEVICE IDLE
F2 | F2-PC-10 | LOGIN FAIL user=guest
F2 | F2-PC-02 | AUTH OK user=guest
F4 | F4-FILE-02 | AUTH FAIL user=admin
F2 | F2-PC-07 | LINK ACTIVE -> F3-PRINTER-02
F2 | F2-PC-06 | FILE WRITE
F4 | F4-PC-01 | FILE WRITE
F1 | F1-CAM-03 | PACKETS RX 618
F3 | F3-FILE-03 | DEVICE IDLE
F2 | F2-PC-04 | DNS OK
F2 | F2-PC-10 | LOGIN FAIL user=staff
F2 | F2-PC-04 | DEVICE IDLE
F4 | F4-PC-03 | AUTH FAIL user=admin
F3 | F3-PC-02 | FILE WRITE
F1 | F1-BADGE | ACCESS OK
F1 | F1-BADGE | SESSION ACTIVE
F3 | F3-PC-08 | PACKETS RX 351
F4 | F4-BADGE | HEARTBEAT OK
F2 | F2-PRINTER-04 | FLOW NORMAL -> F4-DEV-01
F1 | F1-WIFI | FLOW NORMAL -> F1-BADGE
F2 | F2-PC-02 | DNS OK
F4 | F4-PC-04 | FILE WRITE
F4 | F4-CLOUD-01 | PACKETS TX 165
F4 | F4-PC-03 | PACKETS RX 742
F3 | F3-PRINTER-01 | AUTH OK user=guest
F2 | F2-PC-10 | SESSION ACTIVE
F1 | F1-CAM-03 | AUTH OK user=admin
F4 | F4-SW-01 | FILE WRITE
F5 | F5-FILE | LOGIN OK user=reception
F3 | F3-PC-08 | DNS OK
F5 | F5-BACKUP | AUTH FAIL user=admin
F4 | F4-FILE-02 | AUTH FAIL user=admin
F5 | F5-FILE | PACKETS RX 50
F3 | F3-PC-02 | FILE READ
F1 | F1-CAM-04 | HEARTBEAT OK
F3 | F3-BADGE | PACKETS RX 220
F2 | F2-PC-08 | ACCESS OK
F3 | F3-FILE-01 | PACKETS TX 126
F1 | F1-KIOSK | LOGIN FAIL user=reception
F2 | F2-PRINTER-03 | FLOW NORMAL -> F4-PC-04
F5 | F5-CORE-SW | SYNC OK
F5 | F5-APP | DEVICE IDLE
F2 | F2-BADGE | FILE READ
F1 | F1-CAM-02 | FILE WRITE
F1 | F1-RECEPTION-02 | LOGIN OK user=guest
F3 | F3-CLOUD | FILE WRITE
F4 | F4-DEV-01 | FILE WRITE
F3 | F3-FILE-01 | AUTH FAIL user=reception
F1 | F1-RECEPTION-02 | PACKETS TX 179
F4 | F4-CLOUD-01 | DEVICE IDLE
F2 | F2-PC-02 | FILE WRITE
F2 | F2-PC-04 | SYNC OK
F4 | F4-FILE-02 | FILE READ
F5 | F5-DOMAIN | AUTH OK user=reception
F3 | F3-FILE-03 | PACKETS TX 230
F3 | F3-PRINTER-02 | SESSION ACTIVE
F2 | F2-BADGE | AUTH FAIL user=dev
F5 | F5-BACKUP | DNS OK
F4 | F4-BADGE | DEVICE IDLE
F2 | F2-PC-09 | SYNC OK
F2 | F2-PC-04 | FLOW NORMAL -> F3-PC-06
F2 | F2-WIFI | SESSION ACTIVE
F2 | F2-PC-10 | AUTH OK user=staff
F5 | F5-HR | LOGIN OK user=dev
F4 | F4-SW-02 | PACKETS TX 888
F3 | F3-CLOUD | FLOW NORMAL -> F4-SW-01
F1 | F1-WIFI | LOGIN FAIL user=reception
F3 | F3-FILE-02 | ACCESS OK
F1 | F1-CAM-04 | DEVICE IDLE
F5 | F5-APP | AUTH OK user=admin
F4 | F4-CLOUD-02 | LOGIN OK user=guest
F1 | F1-CAM-04 | DEVICE IDLE
F3 | F3-PC-10 | AUTH OK user=guest
F5 | F5-APP | FILE READ
F4 | F4-CLOUD-02 | LINK ACTIVE -> F4-SW-02
F2 | F2-SWITCH | PACKETS TX 623
F5 | F5-BADGE | FLOW NORMAL -> F1-CAM-04
F4 | F4-SW-02 | AUTH FAIL user=admin
F2 | F2-PC-01 | SESSION ACTIVE
F1 | F1-CAM-02 | SYNC OK
F4 | F4-SW-01 | LOGIN OK user=dev
F5 | F5-AUDIT | SESSION ACTIVE
F4 | F4-PC-02 | DEVICE IDLE
F3 | F3-PC-10 | FILE READ
F4 | F4-DEV-02 | PACKETS TX 699
F1 | F1-CAM-03 | PACKETS TX 71
F3 | F3-PRINTER-02 | AUTH FAIL user=dev
F4 | F4-PC-05 | PACKETS RX 262
F2 | F2-PC-10 | PACKETS TX 87
F2 | F2-PC-09 | DEVICE IDLE
F3 | F3-FILE-03 | FILE READ
F2 | F2-PC-07 | AUTH OK user=admin
F4 | F4-PC-04 | PACKETS TX 836
F2 | F2-PC-07 | AUTH OK user=reception
F5 | F5-BACKUP | DEVICE IDLE
F1 | F1-RECEPTION-02 | DEVICE IDLE
F3 | F3-FILE-03 | SESSION ACTIVE
F3 | F3-PC-01 | PACKETS TX 788
F5 | F5-FILE | DNS OK
F3 | F3-PC-02 | FLOW NORMAL -> F2-PC-10
F2 | F2-BADGE | PACKETS RX 868
F2 | F2-PC-03 | LINK ACTIVE -> F3-SWITCH
F2 | F2-PC-07 | FILE READ
F2 | F2-PC-10 | SESSION ACTIVE
F2 | F2-PRINTER-04 | SESSION ACTIVE
F4 | F4-SW-01 | LINK ACTIVE -> F4-DEV-02
F4 | F4-PC-02 | SYNC OK
